Index,Popularity
1,71
2,39
3,69
4,76
5,59
6,45
7,74
8,69
9,77
10,82
11,49
12,74
13,34
14,26
15,66
16,48
17,69
18,57
19,46
20,74
21,81
22,67
23,55
24,69
25,16
26,50
27,56
28,71
29,48
30,59
31,84
32,57
33,63
34,74
35,72
36,44
37,75
38,40
39,72
40,42
41,59
42,53
43,74
44,78
45,65
46,56
47,43
48,65
49,67
50,51
51,69
52,52
53,69
54,52
55,67
56,43
57,57
58,44
59,77
60,38
61,32
62,47
63,48
64,70
65,77
66,63
67,56
68,59
69,55
70,64
71,73
72,65
73,58
74,46
75,67
76,55
77,58
78,57
79,30
80,45
81,45
82,48
83,70
84,58
85,72
86,42
87,42
88,43
89,43
90,65
91,19
92,74
93,49
94,41
95,32
96,75
97,62
98,38
99,30
100,39
101,83
102,44
103,56
104,40
105,58
106,75
107,75
108,47
109,72
110,41
111,74
112,54
113,80
114,59
115,77
116,59
117,51
118,71
119,76
120,64
121,70
122,62
123,39
124,70
125,44
126,75
127,75
128,68
129,42
130,56
131,58
132,36
133,67
134,52
135,59
136,74
137,63
138,54
139,64
140,60
141,69
142,63
143,42
144,74
145,64
146,43
147,44
148,54
149,75
150,62
151,49
152,38
153,38
154,44
155,44
156,64
157,66
158,39
159,59
160,58
161,52
162,46
163,64
164,41
165,76
166,74
167,41
168,73
169,80
170,50
171,56
172,56
173,64
174,75
175,78
176,46
177,40
178,47
179,50
180,49
181,35
182,70
183,56
184,44
185,69
186,49
187,58
188,26
189,53
190,59
191,39
192,52
193,80
194,52
195,36
196,59
197,39
198,73
199,68
200,59
201,63
202,58
203,51
204,73
205,59
206,49
207,34
208,72
209,52
210,67
211,54
212,49
213,77
214,80
215,80
216,51
217,41
218,47
219,47
220,75
221,71
222,75
223,32
224,32
225,69
226,75
227,61
228,45
229,70
230,53
231,64
232,46
233,64
234,55
235,70
236,79
237,51
238,62
239,66
240,82
241,41
242,70
243,74
244,43
245,54
246,30
247,53
248,33
249,51
250,77
251,57
252,53
253,47
254,57
255,69
256,47
257,42
258,59
259,60
260,30
261,43
262,70
263,81
264,76
265,77
266,77
267,46
268,71
269,61
270,53
271,80
272,46
273,69
274,50
275,66
276,64
277,62
278,60
279,61
280,79
281,40
282,43
283,55
284,72
285,34
286,66
287,40
288,80
289,47
290,64
291,42
292,62
293,58
294,75
295,66
296,68
297,40
298,38
299,61
300,52
301,39
302,71
303,47
304,42
305,43
306,53
307,73
308,63
309,65
310,57
311,78
312,76
313,43
314,63
315,57
316,77
317,65
318,74
319,63
320,35
321,54
322,72
323,57
324,61
325,69
326,63
327,48
328,53
329,53
330,43
331,73
332,72
333,74
334,52
335,82
336,59
337,56
338,76
339,63
340,41
341,52
342,52
343,49
344,56
345,78
346,76
347,53
348,61
349,76
350,77
351,62
352,40
353,38
354,79
355,49
356,67
357,55
358,78
359,74
360,66
361,43
362,80
363,36
364,40
365,58
366,50
367,57
368,55
369,43
370,69
371,47
372,47
373,62
374,49
375,79
376,49
377,71
378,33
379,61
380,48
381,41
382,65
383,34
384,34
385,61
386,45
387,75
388,65
389,72
390,59
391,78
392,76
393,54
394,46
395,48
396,57
397,48
398,56
399,84
400,72
401,53
402,48
403,64
404,43
405,54
406,37
407,57
408,27
409,42
410,26
411,36
412,14
413,61
414,28
415,40
416,76
417,38
418,84
419,48
420,37
421,47
422,49
423,80
424,53
425,59
426,66
427,44
428,51
429,75
430,47
431,58
432,48
433,38
434,79
435,75
436,60
437,58
438,76
439,78
440,53
441,18
442,72
443,65
444,69
445,76
446,47
447,42
448,29
449,67
450,53
451,73
452,66
453,51
454,30
455,54
456,52
457,68
458,40
459,33
460,65
461,66
462,84
463,49
464,73
465,69
466,77
467,75
468,33
469,76
470,71
471,75
472,44
473,39
474,64
475,42
476,39
477,49
478,67
479,27
480,74
481,54
482,56
483,73
484,55
485,73
486,64
487,81
488,73
489,69
490,44
491,31
492,19
493,42
494,51
495,70
496,51
497,83
498,57
499,27
500,66
501,52
502,51
503,51
504,70
505,34
506,82
507,72
508,57
509,54
510,41
511,57
512,58
513,67
514,48
515,46
516,66
517,67
518,66
519,75
520,56
521,63
522,57
523,85
524,49
525,82
526,58
527,78
528,64
529,65
530,86
531,40
532,47
533,35
534,76
535,55
536,49
537,32
538,70
539,59
540,77
541,72
542,69
543,65
544,48
545,36
546,67
547,75
548,77
549,80
550,79
551,53
552,33
553,28
554,66
555,62
556,26
557,41
558,49
559,48
560,76
561,30
562,49
563,78
564,61
565,57
566,84
567,77
568,40
569,60
570,65
571,59
572,27
573,80
574,52
575,52
576,60
577,73
578,84
579,47
580,64
581,47
582,42
583,65
584,70
585,39
586,43
587,65
588,43
589,58
590,41
591,75
592,84
593,66
594,63
595,59
596,74
597,72
598,49
599,49
600,70
601,82
602,61
603,43
604,74
605,75
606,15
607,69
608,58
609,29
610,53
611,26
612,71
613,82
614,33
615,20
616,76
617,69
618,85
619,45
620,83
621,21
622,41
623,78
624,74
625,13
626,42
627,16
628,68
629,26
630,68
631,32
632,60
633,78
634,57
635,68
636,54
637,46
638,35
639,63
640,33
641,58
642,73
643,70
644,54
645,83
646,47
647,63
648,67
649,40
650,62
651,73
652,74
653,60
654,73
655,53
656,75
657,36
658,61
659,62
660,74
661,63
662,49
663,54
664,59
665,44
666,66
667,44
668,54
669,41
670,78
671,55
672,67
673,70
674,27
675,24
676,81
677,40
678,76
679,80
680,28
681,34
682,41
683,41
684,87
685,69
686,74
687,76
688,87
689,88
690,78
691,28
692,79
693,80
694,66
695,41
696,32
697,82
698,33
699,41
700,66
701,62
702,75
703,60
704,69
705,63
706,84
707,86
708,59
709,83
710,80
711,54
712,78
713,67
714,25
715,48
716,62
717,40
718,50
719,31
720,36
721,71
722,68
723,64
724,75
725,69
726,78
727,88
728,30
729,68
730,59
731,82
732,30
733,28
734,38
735,30
736,29
737,65
738,27
739,30
740,84
741,65
742,23
743,32
744,83
745,23
746,87
747,23
748,82
749,81
750,80
751,32
752,85
753,16
754,15
755,17
756,80
757,78
758,30
759,31
760,81
761,20
762,44
763,52
764,84
765,17
766,39
767,19
768,26
769,50
770,52
771,33
772,60
773,85
774,12
775,86
776,79
777,21
778,82
779,70
780,73
781,67
782,73
783,37
784,36
785,85
786,50
787,95
788,98
789,37
790,71
791,50
792,72
793,56
794,100
795,68
796,32
797,65
798,80
799,28
800,45
801,79
802,71
803,68
804,71
805,77
806,72
807,53
808,71
809,63
810,77
811,66
812,68
813,63
814,64
815,74
816,62
817,62
818,50
819,47
820,63
821,65
822,63
823,60
824,73
825,76
826,29
827,73
828,73
829,67
830,64
831,57
832,60
833,72
834,58
835,60
836,67
837,38
838,69
839,53
840,79
841,78
842,74
843,58
844,69
845,71
846,77
847,71
848,60
849,76
850,72
851,67
852,69
853,44
854,74
855,79
856,68
857,54
858,55
859,35
860,71
861,68
862,60
863,37
864,66
865,58
866,67
867,68
868,66
869,24
870,66
871,72
872,65
873,62
874,39
875,67
876,67
877,73
878,58
879,63
880,71
881,43
882,50
883,64
884,69
885,82
886,71
887,74
888,75
889,77
890,58
891,29
892,56
893,53
894,75
895,55
896,75
897,64
898,63
899,75
900,65
901,66
902,54
903,51
904,58
905,47
906,69
907,56
908,54
909,47
910,65
911,69
912,57
913,72
914,66
915,78
916,70
917,71
918,73
919,61
920,66
921,74
922,64
923,65
924,41
925,71
926,46
927,62
928,74
929,68
930,68
931,67
932,65
933,75
934,71
935,53
936,64
937,76
938,37
939,68
940,69
941,63
942,74
943,67
944,82
945,58
946,69
947,59
948,57
949,42
950,74
951,43
952,48
